,RAh,RAm,RAs,DECsign,DECd,DECm,DECs,Catalog,Type,RA/deg,DEC/deg
780,7.0,24.0,6.789959999998487,+,38.0,3.0,48.59999999999161,CRUMB,OTHER,111.02829149999998,38.0635
803,7.0,45.0,35.731079999999906,+,33.0,57.0,46.69199999999478,CRUMB,FRI,116.39887949999998,33.96297
817,7.0,56.0,25.75932000000165,+,37.0,3.0,29.700000000003683,CRUMB,FRII,119.1073305,37.05825
818,7.0,56.0,27.359880000000487,+,39.0,1.0,26.00004000001036,CRUMB,OTHER,119.1139995,39.0238889
845,8.0,11.0,11.507999999997908,+,28.0,47.0,50.49600000000424,CRUMB,FRI,122.79794999999996,28.79736
846,8.0,11.0,25.636560000002504,+,43.0,37.0,42.31199999999433,CRUMB,FRI,122.856819,43.62842
850,8.0,12.0,45.94103999999916,+,57.0,47.0,51.03600000000938,CRUMB,FRII,123.19142099999998,57.79751
867,8.0,16.0,53.73767999999842,+,39.0,11.0,16.043999999998846,CRUMB,OTHER,124.22390699999998,39.18779
874,8.0,18.0,52.44516000000246,+,26.0,23.0,54.06000000000233,CRUMB,FRII,124.7185215,26.39835
886,8.0,22.0,4.958399999997738,+,32.0,30.0,6.1560000000099535,CRUMB,FRI,125.52065999999998,32.50171
888,8.0,22.0,34.06008000000284,+,53.0,11.0,18.700080000010075,CRUMB,OTHER,125.641917,53.1885278
904,8.0,27.0,5.407199999998653,+,37.0,48.0,41.29199999999969,CRUMB,FRII,126.77252999999996,37.81147
936,8.0,39.0,3.856320000001858,+,54.0,7.0,7.860000000006835,CRUMB,FRII,129.766068,54.11885
944,8.0,41.0,33.38016000000096,+,40.0,20.0,43.152000000003454,CRUMB,FRI,130.389084,40.34532
948,8.0,43.0,25.649400000002917,+,29.0,7.0,40.65600000000586,CRUMB,FRII,130.8568725,29.12796
949,8.0,43.0,59.1319199999991,+,51.0,5.0,25.1160000000084,CRUMB,FRI,130.99638299999998,51.09031
952,8.0,45.0,15.359040000002013,+,59.0,28.0,47.27999999999042,CRUMB,FRI,131.313996,59.4798
982,8.0,53.0,40.469999999998834,+,61.0,33.0,2.123999999998887,CRUMB,FRI,133.418625,61.55059
983,8.0,55.0,56.37000000000185,+,49.0,11.0,10.60007999999698,CRUMB,OTHER,133.984875,49.1862778
994,8.0,59.0,26.710079999997163,+,29.0,27.0,38.099879999998905,CRUMB,OTHER,134.86129199999996,29.4605833
1000,9.0,1.0,18.544799999998816,+,40.0,6.0,49.57200000000853,CRUMB,FRI,135.32726999999997,40.11377
1012,9.0,3.0,11.143799999998263,+,54.0,3.0,51.65999999999087,CRUMB,FRI,135.79643249999998,54.06435
1019,9.0,6.0,20.562839999997493,+,47.0,52.0,8.184000000007359,CRUMB,FRII,136.58567849999997,47.86894
1022,9.0,8.0,36.46715999999984,+,48.0,39.0,18.252000000007342,CRUMB,FRI,137.15194649999998,48.65507
1027,9.0,10.0,14.87532000000229,+,53.0,39.0,50.580000000011296,CRUMB,FRI,137.5619805,53.66405
1045,9.0,14.0,8.009879999997196,+,52.0,29.0,48.59987999999532,CRUMB,OTHER,138.53337449999998,52.4968333
1054,9.0,15.0,7.683120000001509,+,36.0,22.0,32.34000000000094,CRUMB,FRI,138.78201299999998,36.37565
1057,9.0,16.0,47.75375999999781,+,38.0,18.0,5.868000000010625,CRUMB,OTHER,139.19897399999996,38.30163
